order_id,user_id,order_date,product_id,qty,unit_price,total_amount,status
O00001,U0204,2025-09-09,P0475,3,4306.52,50618.68,PLACED
O00001,U0204,2025-09-09,P0902,4,3411.66,50618.68,SHIPPED
O00001,U0204,2025-09-09,P0988,5,4284.2,50618.68,CANCELLED
O00001,U0204,2025-09-09,P0336,2,1315.74,50618.68,SHIPPED
O00002,U0867,2025-08-21,P0622,5,4644.82,39430.2,SHIPPED
O00002,U0867,2025-08-21,P0015,3,296.39,39430.2,SHIPPED
O00002,U0867,2025-08-21,P0630,3,799.89,39430.2,PLACED
O00002,U0867,2025-08-21,P0439,1,1787.9,39430.2,PLACED
O00002,U0867,2025-08-21,P0669,4,2782.34,39430.2,SHIPPED
O00003,U0349,2025-08-31,P0713,5,724.33,6409.52,CANCELLED
O00003,U0349,2025-08-31,P0569,3,929.29,6409.52,CANCELLED
O00004,U0026,2025-08-27,P0802,5,1095.75,43343.37,CANCELLED
O00004,U0026,2025-08-27,P0791,2,4826.51,43343.37,SHIPPED
O00004,U0026,2025-08-27,P0690,1,1663.95,43343.37,SHIPPED
O00004,U0026,2025-08-27,P0580,5,1037.16,43343.37,SHIPPED
O00004,U0026,2025-08-27,P0024,5,4272.37,43343.37,SHIPPED
O00005,U0979,2025-09-17,P0180,3,1792.78,23013.15,CANCELLED
O00005,U0979,2025-09-17,P0030,3,2624.23,23013.15,PLACED
O00005,U0979,2025-09-17,P0148,3,3254.04,23013.15,CANCELLED
O00006,U0192,2025-09-01,P0464,2,3359.95,40539.74,PLACED
O00006,U0192,2025-09-01,P0940,4,2770.54,40539.74,PLACED
O00006,U0192,2025-09-01,P0515,2,2398.88,40539.74,CANCELLED
O00006,U0192,2025-09-01,P0348,4,4484.98,40539.74,PLACED
O00007,U0662,2025-08-25,P0840,4,1115.77,4463.08,PLACED
O00008,U0392,2025-09-13,P0355,3,4483.31,47609.52,CANCELLED
O00008,U0392,2025-09-13,P0121,2,3804.91,47609.52,SHIPPED
O00008,U0392,2025-09-13,P0402,4,4481.54,47609.52,SHIPPED
O00008,U0392,2025-09-13,P0070,4,1918.04,47609.52,SHIPPED
O00008,U0392,2025-09-13,P0203,5,190.29,47609.52,SHIPPED
O00009,U0733,2025-09-09,P0224,1,2993.47,21455.6,CANCELLED
O00009,U0733,2025-09-09,P0567,4,4060.06,21455.6,PLACED
O00009,U0733,2025-09-09,P0424,3,740.63,21455.6,SHIPPED
O00010,U0037,2025-08-29,P0164,4,4922.62,19690.48,SHIPPED
O00011,U0569,2025-09-03,P0099,4,360.39,1441.56,SHIPPED
O00012,U0853,2025-08-27,P0707,4,2830.05,12892.53,CANCELLED
O00012,U0853,2025-08-27,P0578,1,1572.33,12892.53,PLACED
O00013,U0848,2025-08-31,P0731,5,2055.66,10278.3,CANCELLED
O00014,U0864,2025-08-29,P0292,5,3319.05,16595.25,CANCELLED
O00015,U0348,2025-09-13,P0582,3,2711.4,28379.94,CANCELLED
O00015,U0348,2025-09-13,P0091,3,4728.34,28379.94,SHIPPED
O00015,U0348,2025-09-13,P0703,2,3030.36,28379.94,CANCELLED
O00016,U0401,2025-08-27,P0310,2,974.95,1949.9,SHIPPED
O00017,U0106,2025-08-24,P0568,4,2361.64,27952.38,CANCELLED
O00017,U0106,2025-08-24,P0183,5,1383.03,27952.38,PLACED
O00017,U0106,2025-08-24,P0595,3,1688.75,27952.38,PLACED
O00017,U0106,2025-08-24,P0802,4,1095.75,27952.38,CANCELLED
O00017,U0106,2025-08-24,P0369,1,2141.42,27952.38,CANCELLED
O00018,U0071,2025-09-11,P0057,2,4676.24,18706.58,SHIPPED
O00018,U0071,2025-09-11,P0743,1,4743.32,18706.58,CANCELLED
O00018,U0071,2025-09-11,P0903,2,922.36,18706.58,PLACED
O00018,U0071,2025-09-11,P0183,2,1383.03,18706.58,CANCELLED
O00019,U0148,2025-08-29,P0548,1,4842.55,7435.66,PLACED
O00019,U0148,2025-08-29,P0320,3,864.37,7435.66,SHIPPED
O00020,U0773,2025-09-07,P0743,3,4743.32,42914.11,CANCELLED
O00020,U0773,2025-09-07,P0377,5,1798.71,42914.11,SHIPPED
O00020,U0773,2025-09-07,P0674,5,3938.12,42914.11,PLACED
O00021,U0033,2025-09-12,P0285,1,3560.0,39608.84,SHIPPED
O00021,U0033,2025-09-12,P0469,1,512.2,39608.84,CANCELLED
